 ,Emon Jubayer,Hasan Mahbub,Kandari Athorbo,MZI,Nir Shondhani,Tareque Anu
আমি তোমার,0,0,28,0,0,0
পারে না,36,76,0,104,67,39
প্রাচীন বাংলার,34,0,0,0,0,0
প্রশ্ন ফাঁস,0,0,0,72,0,0
এই যে,0,58,0,0,0,0
আমি আর,29,42,29,0,0,0
জানে না,0,0,0,0,46,0
হয় নি,0,0,0,0,0,49
দেখা মিলল,0,0,0,0,0,43
থেকে শুরু,0,0,0,0,0,37
সাথে দেখা,0,0,0,0,0,37
প্রথমবারের মত,0,0,0,0,0,32
হয়তো বা,0,53,0,0,0,0
বাংলা ব্লগ,0,0,38,0,0,0
দু পাশে,32,0,0,0,0,0
আমার দিকে,0,40,0,0,28,0
দেয়া হয়,0,0,31,0,0,0
আমি যখন,0,0,0,65,0,0
দেখা হবে,0,0,0,0,0,28
আজ পর্যন্ত,0,0,0,0,0,36
ঈসা আঃ,0,0,27,0,0,0
মতো করে,0,0,29,0,0,0
যাবে না,0,46,0,58,51,32
আমার মনে,0,0,0,103,0,0
করা হল,0,0,0,0,0,30
হলো না,0,0,0,0,52,0
আর আমি,0,47,0,0,0,0
মনে হলো,0,0,31,0,37,0
দেয়া হলো,0,0,0,0,29,0
না তাই,0,43,0,71,0,0
হয়ে ওঠে,41,46,0,0,0,0
করা সম্ভব,0,0,28,0,0,0
চিৎকার করে,33,0,0,0,0,0
বড় বড়,0,0,0,100,0,0
চলে গেছে,0,0,0,0,34,29
চলে যায়,52,0,0,0,0,0
করার চেষ্টা,0,0,0,59,0,0
ছিলো না,0,127,0,0,0,0
প্রোফেসর আশরাফি,46,0,0,0,0,0
সে তার,0,53,0,0,0,0
অন্য কোন,0,0,27,0,0,0
হয়ে গেল,0,0,0,0,0,28
করে না,0,60,0,57,50,33
নতুন করে,0,0,30,0,0,0
মাঝে মাঝে,0,0,61,0,60,69
না তার,0,75,0,0,0,0
সেটা নিয়ে,0,0,0,70,0,0
বলল আমি,38,0,0,0,0,0
মঙ্গল ভট্টারক,32,0,0,0,0,0
হতে থাকে,0,52,0,0,0,0
এই পোস্টটি,0,0,0,0,0,31
কালো রঙের,49,0,0,0,0,0
সাথে আছে,0,0,0,0,0,30
ছিল না,73,0,26,75,128,106
এই দেশে,0,0,0,173,0,0
একটু পর,59,0,0,0,0,0
শেষ পর্যন্ত,0,0,0,71,0,0
অবাক হয়ে,40,0,0,0,0,0
না আমি,45,106,0,121,50,0
কথা বলতে,0,49,0,115,0,0
শুরু করলো,0,0,0,0,48,0
না সে,0,57,0,0,41,0
জিজ্ঞেস করল,34,0,0,0,0,0
করতে হয়,0,0,0,76,28,0
আমি আমার,0,0,33,57,0,0
ইনাম আল,0,0,0,0,0,36
সম্ভব নয়,0,0,32,0,0,0
যেতে পারে,0,43,60,56,0,0
সেই সাথে,0,0,0,0,0,172
মনে আছে,0,0,0,63,0,0
পারছি না,0,0,0,0,39,0
হয় না,58,120,0,155,94,32
সে রকম,0,0,0,71,0,0
এর সঙ্গে,39,0,0,0,0,0
যে কোনো,0,0,0,60,0,0
করতে গিয়ে,0,42,0,0,0,0
লাল রঙের,36,0,0,0,0,0
হয়ে যাবে,0,50,40,55,38,0
দেখা যাচ্ছে,0,0,32,0,39,0
দেখা হল,0,0,0,0,0,32
যাত্রা শুরু,0,0,0,0,0,44
করা হয়েছে,0,0,0,0,0,36
আমি সেটা,0,0,0,64,0,0
খুব একটা,0,0,0,0,0,31
না কিন্তু,0,42,0,114,106,53
বছর আগে,64,0,0,0,28,60
করার জন্য,33,0,61,150,49,42
বেশ ভালো,0,41,0,0,0,0
করে সে,0,42,0,0,0,0
করা হয়,0,0,52,0,0,37
লিখেছেনঃ মাস,0,0,46,0,0,0
ধীরে ধীরে,36,60,43,0,0,0
মনে মনে,0,0,0,0,63,0
কেউ কেউ,0,0,0,0,35,0
প্রফেসর আশরাফি,105,0,0,0,0,0
পর থেকে,0,0,0,0,32,0
ব্যবহার করা,0,0,0,0,0,31
কাজ করে,0,0,48,66,0,26
কি করে,0,0,38,0,42,0
বলা হয়,33,0,32,0,0,0
এত বড়,0,0,0,0,29,0
হল না,46,0,0,0,0,0
সামহোয়্যার ইন,0,0,60,0,0,0
বলে মনে,68,0,30,0,0,0
দেশের মানুষ,0,0,0,90,0,0
কুকুটেনি ট্রাইপিলিয়ানস,37,0,0,0,0,0
আমার খুব,0,0,0,58,0,0
যে কারণে,61,0,0,0,0,0
বেশ কিছু,0,0,0,0,0,37
দিকে তাকিয়ে,44,43,36,61,46,0
করতে পারি,0,0,0,82,0,0
এই নিয়ে,0,0,34,0,0,0
ব্লগ লিখেছেনঃ,0,0,71,0,0,0
হবার পর,0,0,0,0,40,0
টেবিলের ওপর,54,0,0,0,0,0
মনে হয়,0,0,0,0,0,66
ঠিক তখনই,31,0,0,0,0,0
কী যেন,41,0,0,0,0,0
সেখান থেকে,0,0,32,0,0,42
আর কী,0,53,0,0,0,26
তাই না,0,54,0,0,0,0
কে জানে,0,42,0,0,0,0
করতে পারে,0,47,31,84,0,36
মোশতাক আন্দালিব,65,0,0,0,0,0
দেখা যায়,38,0,49,0,29,71
রাখা হয়েছে,0,0,31,0,0,0
এবং সেই,0,0,0,0,0,31
সে যাই,56,0,0,0,0,0
বিশেষ করে,0,0,0,0,0,160
নানা ধরনের,0,0,0,0,0,45
আমাদের দেশের,0,0,0,164,0,0
