Iteration,Training Error,Validation Error
436,34.0854536726,36.2912400455
437,34.1334613538,36.2912400455
438,34.0854536726,36.2912400455
439,34.1334613538,36.2912400455
440,34.061449832,36.1774744027
441,34.1334613538,36.2912400455
442,34.1094575132,36.2912400455
443,34.1574651944,36.2912400455
444,34.1334613538,36.2912400455
445,34.1574651944,35.9499431172
446,34.1334613538,36.1774744027
447,34.1574651944,36.06370876
448,34.1574651944,36.2912400455
449,34.181469035,36.1774744027
450,34.1574651944,36.2912400455
451,34.181469035,36.06370876
452,34.2054728757,36.1774744027
453,34.1574651944,35.9499431172
454,34.1574651944,36.2912400455
455,34.181469035,35.9499431172
456,34.181469035,36.1774744027
457,34.1574651944,35.9499431172
458,34.2054728757,36.1774744027
459,34.181469035,35.9499431172
460,34.181469035,36.06370876
461,34.181469035,35.9499431172
462,34.181469035,36.1774744027
463,34.181469035,35.9499431172
464,34.1574651944,36.06370876
465,34.1574651944,35.9499431172
466,34.1574651944,36.06370876
467,34.1574651944,35.9499431172
468,34.1574651944,36.06370876
469,34.181469035,35.9499431172
470,34.1334613538,36.06370876
471,34.1334613538,36.1774744027
472,34.1334613538,35.9499431172
473,34.1574651944,35.9499431172
474,34.1334613538,36.06370876
475,34.1334613538,35.9499431172
476,34.1334613538,36.06370876
477,34.1094575132,35.9499431172
478,34.1334613538,36.06370876
479,34.1334613538,36.06370876
480,34.1574651944,36.06370876
481,34.1334613538,35.9499431172
482,34.1094575132,36.06370876
483,34.1334613538,36.06370876
484,34.0134421507,36.06370876
485,34.1334613538,35.9499431172
486,34.0134421507,36.06370876
487,34.1574651944,35.9499431172
488,34.0134421507,36.06370876
489,34.0854536726,35.9499431172
490,33.9894383101,35.9499431172
491,34.1574651944,35.9499431172
492,33.9894383101,36.06370876
493,34.061449832,35.9499431172
494,34.0374459914,35.9499431172
495,34.1094575132,35.9499431172
496,33.9894383101,35.9499431172
497,34.0374459914,35.9499431172
498,33.9894383101,35.9499431172
499,34.0134421507,35.9499431172
500,34.0134421507,36.06370876
